t,manoeuvre,distance,aspect angle,pitch,ideal pitch,roll,heading,ideal heading,angle of attack,sideslip angle,yoke pitch ratio,yoke roll ratio,throttle ratio,kias,stall warning,has crashed,Δt,pitch dev,heading dev,d rate,in front of or behind enemy plane,pitch dev grade,heading dev grade
26.23,enemy aircraft finished manoeuvre,1762.0195203039048 metres,7.02,7.78,7.92,-7.46,320.69,127.35,-0.74,0.22,-0.35,0.17,0.5,121.29,0,0,0.11,-0.14,-166.66,124.86,behind,good,lost sight of enemy
26.34,enemy aircraft finished manoeuvre,1775.8828853841362 metres,6.7,6.7,7.83,-6.29,320.72,127.41,-1.72,0.24,-0.4,0.19,0.5,120.93,0,0,0.11,-1.12,-166.7,124.6,behind,good,lost sight of enemy
26.45,enemy aircraft finished manoeuvre,1789.586854487925 metres,6.39,5.35,7.73,-4.98,320.78,127.47,-2.75,0.3,-0.45,0.22,0.5,120.55,0,0,0.11,-2.39,-166.7,122.93,behind,good,lost sight of enemy
26.57,enemy aircraft finished manoeuvre,1803.6331681050754 metres,6.08,3.8,7.65,-3.5,320.83,127.53,-3.69,0.38,-0.45,0.22,0.5,120.14,0,0,0.11,-3.85,-166.7,124.73,behind,might lose sight of enemy,lost sight of enemy
26.68,enemy aircraft finished manoeuvre,1817.5425395126585 metres,5.78,2.31,7.56,-2.01,320.85,127.59,-4.36,0.46,-0.45,0.22,0.5,119.71,0,0,0.11,-5.26,-166.74,123.02,behind,might lose sight of enemy,lost sight of enemy
26.79,enemy aircraft finished manoeuvre,1831.6906577128968 metres,5.48,0.98,7.49,-0.5,320.81,127.65,-4.7,0.51,-0.38,0.22,0.5,119.24,0,0,0.11,-6.51,-166.84,123.83,behind,might lose sight of enemy,lost sight of enemy
26.91,enemy aircraft finished manoeuvre,1845.5094597319733 metres,5.21,0.11,7.42,0.99,320.72,127.71,-4.55,0.53,-0.32,0.22,0.5,118.77,0,0,0.11,-7.3,-166.99,123.72,behind,might lose sight of enemy,lost sight of enemy
27.02,enemy aircraft finished manoeuvre,1859.793072577322 metres,4.93,-0.24,7.35,2.52,320.61,127.77,-3.95,0.5,-0.19,0.22,0.5,118.28,0,0,0.12,-7.59,-167.16,123.59,behind,might lose sight of enemy,lost sight of enemy
27.14,enemy aircraft finished manoeuvre,1874.3341792201472 metres,4.66,0.58,7.29,4.05,320.57,127.83,-2.29,0.42,0.23,0.21,0.5,117.8,0,0,0.12,-6.7,-167.26,123.41,behind,might lose sight of enemy,lost sight of enemy
27.24,enemy aircraft finished manoeuvre,1886.9242202412836 metres,4.43,2.86,7.24,5.34,320.68,127.88,0.26,0.3,0.28,0.21,0.5,117.41,0,0,0.1,-4.38,-167.2,124.22,behind,might lose sight of enemy,lost sight of enemy
27.35,enemy aircraft finished manoeuvre,1899.6942683233885 metres,4.2,6.11,7.19,6.63,320.96,127.93,3.16,0.11,0.28,0.21,0.5,117.04,0,0,0.11,-1.08,-166.97,118.44,behind,good,lost sight of enemy
27.45,enemy aircraft finished manoeuvre,1912.556323875251 metres,3.97,9.63,7.14,7.88,321.36,127.98,5.71,-0.13,0.28,0.21,0.5,116.66,0,0,0.1,2.49,-166.62,125.44,behind,good,lost sight of enemy
27.56,enemy aircraft finished manoeuvre,1925.4615910715174 metres,3.74,12.79,7.08,9.07,321.84,128.03,7.43,-0.38,0.25,0.19,0.5,116.26,0,0,0.11,5.71,-166.2,121.45,behind,might lose sight of enemy,lost sight of enemy
27.67,enemy aircraft finished manoeuvre,1939.4913160748968 metres,3.49,15.18,7.02,10.14,322.31,128.09,7.92,-0.58,0.15,0.15,0.5,115.77,0,0,0.11,8.16,-165.78,124.25,behind,lost sight of enemy,lost sight of enemy
27.78,enemy aircraft finished manoeuvre,1952.349645495168 metres,3.26,16.14,6.95,10.98,322.65,128.14,7.16,-0.67,0.01,0.15,0.5,115.27,0,0,0.11,9.18,-165.49,116.84,behind,lost sight of enemy,lost sight of enemy
27.88,enemy aircraft finished manoeuvre,1965.0165700074588 metres,3.03,16.03,6.88,11.79,322.88,128.19,5.63,-0.66,-0.02,0.15,0.5,114.76,0,0,0.1,9.15,-165.31,122.8,behind,lost sight of enemy,lost sight of enemy
27.99,enemy aircraft finished manoeuvre,1977.5998846063994 metres,2.8,15.36,6.81,12.63,323.09,128.25,3.94,-0.56,-0.03,0.15,0.5,114.25,0,0,0.11,8.55,-165.16,118.11,behind,lost sight of enemy,lost sight of enemy
28.1,enemy aircraft finished manoeuvre,1990.2325003383144 metres,2.57,14.59,6.74,13.52,323.33,128.3,2.51,-0.39,-0.04,0.13,0.5,113.75,0,0,0.11,7.85,-164.97,116.44,behind,might lose sight of enemy,lost sight of enemy
28.21,enemy aircraft finished manoeuvre,2002.710359212217 metres,2.35,13.95,6.67,14.38,323.61,128.36,1.49,-0.21,-0.12,0.08,0.5,113.28,0,0,0.11,7.28,-164.74,116.29,behind,might lose sight of enemy,lost sight of enemy
28.31,enemy aircraft finished manoeuvre,2014.9913452286526 metres,2.13,13.28,6.6,14.98,323.85,128.41,0.6,-0.05,-0.22,0.04,0.5,112.83,0,0,0.11,6.68,-164.55,115.77,behind,might lose sight of enemy,lost sight of enemy
28.42,enemy aircraft finished manoeuvre,2027.3729601097655 metres,1.92,12.49,6.53,15.38,324.01,128.46,-0.22,0.05,-0.23,0.04,0.5,112.38,0,0,0.11,5.96,-164.45,115.75,behind,might lose sight of enemy,lost sight of enemy
28.53,enemy aircraft finished manoeuvre,2039.720463528165 metres,1.71,11.72,6.46,15.73,324.11,128.52,-0.87,0.1,-0.23,0.04,0.5,111.94,0,0,0.11,5.26,-164.4,115.3,behind,might lose sight of enemy,lost sight of enemy
28.63,enemy aircraft finished manoeuvre,2051.9965263908853 metres,1.51,11.05,6.39,16.05,324.19,128.57,-1.3,0.1,-0.23,0.04,0.5,111.5,0,0,0.11,4.66,-164.38,114.8,behind,might lose sight of enemy,lost sight of enemy
28.74,enemy aircraft finished manoeuvre,2064.204869128703 metres,1.32,10.52,6.33,16.36,324.28,128.62,-1.53,0.08,-0.23,0.04,0.5,111.05,0,0,0.11,4.19,-164.34,113.58,behind,might lose sight of enemy,lost sight of enemy
28.85,enemy aircraft finished manoeuvre,2076.5216394331323 metres,1.13,10.1,6.27,16.67,324.39,128.68,-1.59,0.04,-0.23,0.04,0.5,110.59,0,0,0.11,3.84,-164.28,113.91,behind,might lose sight of enemy,lost sight of enemy
28.96,enemy aircraft finished manoeuvre,2088.763982373865 metres,0.95,9.8,6.21,16.98,324.54,128.73,-1.54,-0.0,-0.23,0.04,0.5,110.12,0,0,0.11,3.59,-164.19,113.77,behind,might lose sight of enemy,lost sight of enemy
29.07,enemy aircraft finished manoeuvre,2101.0434726895664 metres,0.77,9.55,6.15,17.29,324.72,128.78,-1.42,-0.04,-0.23,0.04,0.5,109.65,0,0,0.11,3.41,-164.06,112.65,behind,might lose sight of enemy,lost sight of enemy
29.17,enemy aircraft finished manoeuvre,2113.259309086724 metres,0.61,9.35,6.09,17.6,324.93,128.84,-1.29,-0.06,-0.23,0.04,0.5,109.18,0,0,0.11,3.25,-163.91,113.11,behind,might lose sight of enemy,lost sight of enemy
29.29,enemy aircraft finished manoeuvre,2126.1458127449014 metres,0.44,9.14,6.04,17.93,325.17,128.89,-1.16,-0.07,-0.23,0.04,0.5,108.68,0,0,0.12,3.1,-163.72,111.06,behind,might lose sight of enemy,lost sight of enemy
29.39,enemy aircraft finished manoeuvre,2137.846709889997 metres,0.3,8.93,5.99,18.22,325.4,128.94,-1.06,-0.08,-0.23,0.04,0.5,108.23,0,0,0.1,2.94,-163.54,112.94,behind,good,lost sight of enemy
29.51,enemy aircraft finished manoeuvre,2150.908481525964 metres,0.15,8.67,5.94,18.56,325.67,129.0,-0.99,-0.07,-0.23,0.04,0.5,107.72,0,0,0.12,2.73,-163.33,109.75,behind,good,lost sight of enemy
29.61,enemy aircraft finished manoeuvre,2162.4109353637305 metres,0.08,8.42,5.89,18.86,325.9,129.05,-0.96,-0.07,-0.25,0.04,0.5,107.28,0,0,0.1,2.52,-163.15,114.49,behind,good,lost sight of enemy
29.72,enemy aircraft finished manoeuvre,2174.537293401516 metres,0.16,7.99,5.85,19.16,326.1,129.1,-1.09,-0.07,-0.31,0.04,0.5,106.82,0,0,0.11,2.14,-163.01,111.59,behind,good,lost sight of enemy
29.83,enemy aircraft finished manoeuvre,2186.513942289978 metres,0.27,7.38,5.81,19.45,326.23,129.16,-1.37,-0.06,-0.31,0.04,0.5,106.37,0,0,0.11,1.58,-162.93,110.49,behind,good,lost sight of enemy
29.94,enemy aircraft finished manoeuvre,2198.6733823581662 metres,0.39,6.65,5.76,19.74,326.32,129.21,-1.69,-0.06,-0.31,0.04,0.5,105.91,0,0,0.11,0.89,-162.88,109.91,behind,good,lost sight of enemy
30.05,enemy aircraft finished manoeuvre,2210.9009153073384 metres,0.51,5.88,5.72,20.04,326.41,129.26,-1.98,-0.06,-0.31,0.04,0.5,105.46,0,0,0.11,0.16,-162.85,109.5,behind,good,lost sight of enemy
30.16,enemy aircraft finished manoeuvre,2223.1901541672296 metres,0.61,5.12,5.69,20.33,326.5,129.32,-2.19,-0.06,-0.31,0.04,0.5,105.01,0,0,0.11,-0.57,-162.82,111.03,behind,good,lost sight of enemy
30.28,enemy aircraft finished manoeuvre,2235.5205552116463 metres,0.71,4.39,5.65,20.63,326.61,129.37,-2.32,-0.06,-0.31,0.04,0.5,104.56,0,0,0.11,-1.26,-162.76,109.44,behind,good,lost sight of enemy
30.39,enemy aircraft finished manoeuvre,2247.804548942089 metres,0.81,3.72,5.62,20.93,326.73,129.42,-2.37,-0.06,-0.28,0.03,0.5,104.12,0,0,0.11,-1.9,-162.69,108.61,behind,good,lost sight of enemy
30.5,enemy aircraft finished manoeuvre,2260.3382763344316 metres,0.9,3.14,5.59,21.17,326.91,129.48,-2.29,-0.07,-0.26,0.02,0.5,103.68,0,0,0.12,-2.44,-162.57,108.88,behind,good,lost sight of enemy
30.62,enemy aircraft finished manoeuvre,2272.67633927142 metres,0.98,2.69,5.56,21.37,327.13,129.53,-2.1,-0.08,-0.26,0.02,0.5,103.27,0,0,0.11,-2.87,-162.4,109.03,behind,good,lost sight of enemy
30.73,enemy aircraft finished manoeuvre,2285.284483783046 metres,1.05,2.3,5.53,21.57,327.39,129.59,-1.88,-0.09,-0.26,0.02,0.5,102.86,0,0,0.12,-3.23,-162.19,108.84,behind,might lose sight of enemy,lost sight of enemy
30.85,enemy aircraft finished manoeuvre,2297.713981588351 metres,1.12,1.93,5.51,21.77,327.66,129.64,-1.68,-0.1,-0.26,0.02,0.5,102.47,0,0,0.11,-3.58,-161.98,109.28,behind,might lose sight of enemy,lost sight of enemy
30.96,enemy aircraft finished manoeuvre,2310.136451290174 metres,1.18,1.55,5.48,21.96,327.93,129.69,-1.53,-0.1,-0.26,0.02,0.5,102.1,0,0,0.12,-3.94,-161.76,107.4,behind,might lose sight of enemy,lost sight of enemy
31.08,enemy aircraft finished manoeuvre,2322.8215128843444 metres,1.23,1.12,5.46,22.15,328.21,129.75,-1.43,-0.11,-0.26,0.02,0.5,101.75,0,0,0.12,-4.34,-161.54,107.43,behind,might lose sight of enemy,lost sight of enemy
31.19,enemy aircraft finished manoeuvre,2335.248665721911 metres,1.28,0.66,5.45,22.33,328.46,129.8,-1.39,-0.11,-0.26,0.02,0.5,101.42,0,0,0.11,-4.78,-161.34,108.27,behind,might lose sight of enemy,lost sight of enemy
31.3,enemy aircraft finished manoeuvre,2346.304779221777 metres,1.32,0.23,5.43,22.5,328.68,129.85,-1.38,-0.11,-0.26,0.02,0.5,101.14,0,0,0.1,-5.2,-161.17,106.59,behind,might lose sight of enemy,lost sight of enemy
31.41,enemy aircraft finished manoeuvre,2357.627560785076 metres,1.36,-0.25,5.42,22.67,328.9,129.9,-1.39,-0.11,-0.26,0.02,0.5,100.88,0,0,0.11,-5.66,-161.0,104.1,behind,might lose sight of enemy,lost sight of enemy
31.51,enemy aircraft finished manoeuvre,2369.164030218808 metres,1.39,-0.75,5.4,22.84,329.12,129.95,-1.42,-0.11,-0.26,0.02,0.5,100.62,0,0,0.11,-6.15,-160.84,107.92,behind,might lose sight of enemy,lost sight of enemy
31.62,enemy aircraft finished manoeuvre,2380.7641209646217 metres,1.42,-1.26,5.39,23.01,329.33,130.0,-1.45,-0.11,-0.26,0.02,0.5,100.37,0,0,0.11,-6.65,-160.67,106.44,behind,might lose sight of enemy,lost sight of enemy
31.73,enemy aircraft finished manoeuvre,2391.8338935052716 metres,1.44,-1.76,5.38,23.17,329.54,130.05,-1.47,-0.11,-0.26,0.02,0.5,100.15,0,0,0.11,-7.14,-160.51,103.99,behind,might lose sight of enemy,lost sight of enemy
31.84,enemy aircraft finished manoeuvre,2404.5205488067163 metres,1.46,-2.33,5.37,23.4,329.78,130.11,-1.49,-0.11,-0.26,0.08,0.5,99.92,0,0,0.11,-7.7,-160.32,111.01,behind,might lose sight of enemy,lost sight of enemy
31.94,enemy aircraft finished manoeuvre,2415.0649715867135 metres,1.48,-2.78,5.36,24.04,330.01,130.16,-1.46,-0.08,-0.24,0.34,0.5,99.74,0,0,0.1,-8.14,-160.14,105.34,behind,lost sight of enemy,lost sight of enemy
32.06,enemy aircraft finished manoeuvre,2427.628461578429 metres,1.5,-3.25,5.36,25.74,330.37,130.21,-1.34,0.01,-0.24,0.35,0.5,99.54,0,0,0.12,-8.61,-159.85,105.61,behind,lost sight of enemy,lost sight of enemy
32.18,enemy aircraft finished manoeuvre,2440.2464029105954 metres,1.51,-3.69,5.35,27.79,330.76,130.27,-1.19,0.1,-0.24,0.35,0.5,99.36,0,0,0.12,-9.04,-159.5,105.72,behind,lost sight of enemy,lost sight of enemy
32.28,enemy aircraft finished manoeuvre,2450.8298729722924 metres,1.53,-4.04,5.35,29.58,331.11,130.32,-1.07,0.15,-0.24,0.34,0.5,99.22,0,0,0.1,-9.39,-159.21,104.55,behind,lost sight of enemy,lost sight of enemy
32.39,enemy aircraft finished manoeuvre,2461.5820925228036 metres,1.54,-4.41,5.35,31.3,331.45,130.37,-0.99,0.16,-0.24,0.22,0.5,99.1,0,0,0.1,-9.76,-158.92,105.61,behind,lost sight of enemy,lost sight of enemy
32.51,enemy aircraft finished manoeuvre,2474.115821056873 metres,1.56,-4.86,5.34,32.81,331.81,130.42,-0.95,0.12,-0.24,0.17,0.5,98.96,0,0,0.12,-10.21,-158.61,104.43,behind,lost sight of enemy,lost sight of enemy
32.61,enemy aircraft finished manoeuvre,2484.6287855565624 metres,1.58,-5.27,5.34,33.83,332.08,130.47,-0.96,0.07,-0.24,0.17,0.5,98.86,0,0,0.1,-10.61,-158.39,103.05,behind,lost sight of enemy,lost sight of enemy
32.73,enemy aircraft finished manoeuvre,2497.203968484503 metres,1.6,-5.71,5.34,34.59,332.44,130.53,-0.91,-0.02,-0.15,0.01,0.5,98.76,0,0,0.12,-11.06,-158.09,105.2,behind,lost sight of enemy,lost sight of enemy
32.83,enemy aircraft finished manoeuvre,2507.8432108167854 metres,1.62,-5.94,5.35,34.28,332.82,130.58,-0.71,-0.14,-0.13,-0.34,0.5,98.69,0,0,0.1,-11.28,-157.76,104.35,behind,lost sight of enemy,lost sight of enemy
32.93,enemy aircraft finished manoeuvre,2518.454918197414 metres,1.65,-6.01,5.35,32.98,333.28,130.63,-0.39,-0.28,-0.13,-0.34,0.5,98.63,0,0,0.1,-11.36,-157.35,103.21,behind,lost sight of enemy,lost sight of enemy
33.03,enemy aircraft finished manoeuvre,2529.035492244814 metres,1.69,-6.0,5.35,31.37,333.78,130.68,-0.03,-0.38,-0.13,-0.34,0.5,98.59,0,0,0.1,-11.35,-156.9,103.83,behind,lost sight of enemy,lost sight of enemy
33.13,enemy aircraft finished manoeuvre,2539.5609348110816 metres,1.73,-5.97,5.36,29.69,334.31,130.73,0.29,-0.43,-0.13,-0.34,0.5,98.56,0,0,0.1,-11.33,-156.43,104.29,behind,lost sight of enemy,lost sight of enemy
33.23,enemy aircraft finished manoeuvre,2549.770116223104 metres,1.77,-5.96,5.36,28.04,334.82,130.78,0.55,-0.44,-0.13,-0.32,0.5,98.54,0,0,0.1,-11.32,-155.96,101.37,behind,lost sight of enemy,lost sight of enemy
33.34,enemy aircraft finished manoeuvre,2560.7669342878244 metres,1.82,-5.96,5.37,26.47,335.38,130.84,0.75,-0.4,-0.1,-0.23,0.5,98.53,0,0,0.11,-11.32,-155.46,102.08,behind,lost sight of enemy,lost sight of enemy
33.46,enemy aircraft finished manoeuvre,2572.6283082420864 metres,1.89,-5.92,5.37,24.99,335.99,130.9,0.99,-0.32,0.05,-0.39,0.5,98.53,0,0,0.12,-11.29,-154.91,101.51,behind,lost sight of enemy,lost sight of enemy
33.57,enemy aircraft finished manoeuvre,2583.6823212542745 metres,1.97,-5.53,5.38,23.07,336.66,130.96,1.54,-0.26,0.08,-0.47,0.5,98.55,0,0,0.11,-10.91,-154.3,104.27,behind,lost sight of enemy,lost sight of enemy
33.69,enemy aircraft finished manoeuvre,2595.334313117889 metres,2.05,-4.72,5.38,20.65,337.45,131.02,2.38,-0.18,0.08,-0.48,0.5,98.57,0,0,0.12,-10.1,-153.57,95.91,behind,lost sight of enemy,lost sight of enemy
33.81,enemy aircraft finished manoeuvre,2608.230343175111 metres,2.16,-3.54,5.39,17.88,338.31,131.08,3.33,-0.05,0.08,-0.48,0.5,98.6,0,0,0.12,-8.93,-152.78,107.58,behind,lost sight of enemy,lost sight of enemy
33.91,enemy aircraft finished manoeuvre,2618.6961425628797 metres,2.25,-2.54,5.39,15.66,338.91,131.14,3.96,0.07,0.1,-0.49,0.5,98.61,0,0,0.1,-7.93,-152.23,102.31,behind,might lose sight of enemy,lost sight of enemy
34.03,enemy aircraft finished manoeuvre,2630.7157793665333 metres,2.36,-1.35,5.39,13.08,339.49,131.2,4.57,0.19,0.13,-0.51,0.5,98.62,0,0,0.12,-6.74,-151.72,101.43,behind,might lose sight of enemy,lost sight of enemy
34.15,enemy aircraft finished manoeuvre,2642.4989268464237 metres,2.49,-0.14,5.39,10.56,339.91,131.27,5.06,0.3,0.17,-0.46,0.5,98.62,0,0,0.12,-5.53,-151.36,100.29,behind,might lose sight of enemy,lost sight of enemy
34.26,enemy aircraft finished manoeuvre,2654.333782146252 metres,2.62,1.15,5.39,8.29,340.23,131.33,5.53,0.38,0.21,-0.36,0.5,98.6,0,0,0.12,-4.24,-151.11,100.91,behind,might lose sight of enemy,lost sight of enemy
34.38,enemy aircraft finished manoeuvre,2666.085738737457 metres,2.75,2.57,5.38,6.42,340.45,131.4,6.04,0.43,0.35,-0.33,0.5,98.55,0,0,0.12,-2.81,-150.95,98.87,behind,good,lost sight of enemy
34.5,enemy aircraft finished manoeuvre,2677.6682050249397 metres,2.89,4.4,5.38,4.74,340.61,131.46,6.86,0.45,0.37,-0.33,0.5,98.49,0,0,0.11,-0.97,-150.86,101.02,behind,good,lost sight of enemy
34.61,enemy aircraft finished manoeuvre,2689.1028413736526 metres,3.04,6.45,5.37,3.22,340.7,131.53,7.72,0.48,0.36,-0.22,0.5,98.38,0,0,0.12,1.09,-150.83,98.94,behind,good,lost sight of enemy
34.72,enemy aircraft finished manoeuvre,2700.282023468091 metres,3.18,8.41,5.35,2.06,340.71,131.59,8.35,0.48,0.36,-0.21,0.5,98.24,0,0,0.11,3.06,-150.88,99.09,behind,might lose sight of enemy,lost sight of enemy
34.84,enemy aircraft finished manoeuvre,2711.4441752270855 metres,3.33,10.18,5.34,1.02,340.64,131.65,8.7,0.45,0.36,-0.21,0.5,98.06,0,0,0.11,4.85,-151.01,98.3,behind,might lose sight of enemy,lost sight of enemy
34.95,enemy aircraft finished manoeuvre,2722.2016187748727 metres,3.48,11.73,5.32,0.03,340.51,131.71,8.87,0.42,0.42,-0.21,0.5,97.83,0,0,0.11,6.42,-151.2,98.66,behind,might lose sight of enemy,lost sight of enemy
35.06,enemy aircraft finished manoeuvre,2732.837293857198 metres,3.62,13.27,5.29,-0.97,340.33,131.77,9.02,0.39,0.44,-0.21,0.5,97.58,0,0,0.11,7.97,-151.44,97.43,behind,might lose sight of enemy,lost sight of enemy
35.16,enemy aircraft finished manoeuvre,2743.4456482888145 metres,3.77,14.82,5.27,-1.99,340.1,131.83,9.18,0.36,0.45,-0.21,0.5,97.29,0,0,0.11,9.55,-151.72,98.2,behind,lost sight of enemy,lost sight of enemy
35.28,enemy aircraft finished manoeuvre,2754.493819565689 metres,3.93,16.47,5.23,-3.08,339.82,131.89,9.37,0.35,0.49,-0.21,0.5,96.95,0,0,0.11,11.23,-152.07,99.13,behind,lost sight of enemy,lost sight of enemy
35.39,enemy aircraft finished manoeuvre,2765.2112246621027 metres,4.08,18.17,5.2,-4.16,339.49,131.94,9.63,0.35,0.5,-0.21,0.5,96.59,0,0,0.12,12.97,-152.45,90.28,behind,lost sight of enemy,lost sight of enemy
35.51,enemy aircraft finished manoeuvre,2776.609484524922 metres,4.25,20.04,5.16,-5.34,339.08,132.0,9.93,0.36,0.5,-0.21,0.5,96.16,0,0,0.12,14.88,-152.92,95.94,behind,lost sight of enemy,lost sight of enemy
35.62,enemy aircraft finished manoeuvre,2786.198954527016 metres,4.39,21.47,5.13,-6.25,338.71,132.05,9.97,0.37,0.25,-0.09,0.5,95.76,0,0,0.1,16.34,-153.34,93.8,behind,lost sight of enemy,lost sight of enemy
35.73,enemy aircraft finished manoeuvre,2796.8277547156836 metres,4.55,21.89,5.08,-6.8,338.42,132.1,8.78,0.32,-0.31,0.04,0.5,95.28,0,0,0.11,16.81,-153.68,96.77,behind,lost sight of enemy,lost sight of enemy
35.83,enemy aircraft finished manoeuvre,2806.6866925486315 metres,4.69,20.73,5.04,-6.89,338.33,132.15,6.45,0.21,-0.31,0.04,0.5,94.84,0,0,0.11,15.69,-153.82,93.26,behind,lost sight of enemy,lost sight of enemy
35.94,enemy aircraft finished manoeuvre,2816.2991603650225 metres,4.84,18.7,4.99,-6.82,338.34,132.19,3.78,0.09,-0.31,0.04,0.5,94.42,0,0,0.1,13.71,-153.85,92.23,behind,lost sight of enemy,lost sight of enemy
36.04,enemy aircraft finished manoeuvre,2825.907361224437 metres,4.98,16.34,4.95,-6.7,338.41,132.24,1.26,-0.01,-0.31,0.04,0.5,94.04,0,0,0.1,11.39,-153.83,92.36,behind,lost sight of enemy,lost sight of enemy
36.14,enemy aircraft finished manoeuvre,2835.5934031987003 metres,5.13,14.02,4.9,-6.55,338.49,132.28,-0.79,-0.08,-0.29,0.04,0.5,93.68,0,0,0.11,9.12,-153.79,91.92,behind,lost sight of enemy,lost sight of enemy
36.25,enemy aircraft finished manoeuvre,2845.3066209811655 metres,5.29,11.99,4.86,-6.38,338.57,132.33,-2.23,-0.11,-0.29,0.04,0.5,93.34,0,0,0.11,7.13,-153.76,92.47,behind,might lose sight of enemy,lost sight of enemy
36.36,enemy aircraft finished manoeuvre,2855.334310767137 metres,5.45,10.27,4.82,-6.18,338.63,132.37,-3.12,-0.11,-0.29,0.04,0.5,92.99,0,0,0.11,5.46,-153.74,91.81,behind,might lose sight of enemy,lost sight of enemy
36.47,enemy aircraft finished manoeuvre,2865.390024822524 metres,5.61,8.95,4.77,-5.98,338.67,132.42,-3.48,-0.09,-0.29,0.04,0.5,92.62,0,0,0.11,4.18,-153.75,90.95,behind,might lose sight of enemy,lost sight of enemy
36.58,enemy aircraft finished manoeuvre,2875.574879070913 metres,5.78,8.01,4.73,-5.78,338.67,132.46,-3.42,-0.06,-0.17,0.02,0.5,92.24,0,0,0.11,3.27,-153.79,90.62,behind,might lose sight of enemy,lost sight of enemy
36.69,enemy aircraft finished manoeuvre,2885.866561146824 metres,5.96,7.61,4.69,-5.65,338.62,132.5,-2.82,-0.03,-0.11,0.01,0.5,91.85,0,0,0.11,2.92,-153.88,92.5,behind,good,lost sight of enemy
36.8,enemy aircraft finished manoeuvre,2896.1334330152795 metres,6.14,7.71,4.66,-5.57,338.52,132.55,-1.88,-0.02,-0.11,0.01,0.5,91.45,0,0,0.11,3.06,-154.03,92.07,behind,might lose sight of enemy,lost sight of enemy
36.91,enemy aircraft finished manoeuvre,2906.3712337278266 metres,6.32,8.1,4.62,-5.52,338.38,132.59,-0.84,-0.01,-0.11,0.01,0.5,91.07,0,0,0.11,3.47,-154.21,92.75,behind,might lose sight of enemy,lost sight of enemy
37.02,enemy aircraft finished manoeuvre,2916.5769421299374 metres,6.5,8.57,4.59,-5.48,338.23,132.63,0.1,-0.01,-0.16,0.02,0.5,90.69,0,0,0.11,3.98,-154.4,93.23,behind,might lose sight of enemy,lost sight of enemy
37.14,enemy aircraft finished manoeuvre,2926.685329291464 metres,6.68,8.88,4.55,-5.4,338.1,132.67,0.72,-0.01,-0.27,0.05,0.5,90.32,0,0,0.11,4.33,-154.58,90.85,behind,might lose sight of enemy,lost sight of enemy
37.24,enemy aircraft finished manoeuvre,2936.556964558898 metres,6.86,8.79,4.52,-5.22,338.01,132.71,0.85,-0.01,-0.29,0.05,0.5,89.97,0,0,0.11,4.27,-154.71,91.33,behind,might lose sight of enemy,lost sight of enemy
37.36,enemy aircraft finished manoeuvre,2947.2880140532507 metres,7.05,8.28,4.49,-4.97,337.95,132.76,0.62,-0.01,-0.29,0.05,0.5,89.59,0,0,0.12,3.79,-154.81,93.03,behind,might lose sight of enemy,lost sight of enemy
37.46,enemy aircraft finished manoeuvre,2956.3184455277333 metres,7.22,7.62,4.46,-4.74,337.92,132.79,0.25,-0.02,-0.29,0.05,0.5,89.27,0,0,0.1,3.16,-154.88,86.78,behind,might lose sight of enemy,lost sight of enemy
37.56,enemy aircraft finished manoeuvre,2965.6080116189023 metres,7.39,6.8,4.43,-4.51,337.9,132.83,-0.18,-0.02,-0.29,0.05,0.5,88.95,0,0,0.1,2.37,-154.93,92.72,behind,good,lost sight of enemy
37.67,enemy aircraft finished manoeuvre,2975.040338258217 metres,7.56,5.91,4.4,-4.26,337.88,132.87,-0.6,-0.03,-0.29,0.05,0.5,88.64,0,0,0.11,1.51,-154.99,89.51,behind,good,lost sight of enemy
37.79,enemy aircraft finished manoeuvre,2985.9817405333724 metres,7.77,4.86,4.37,-3.97,337.86,132.91,-1.02,-0.03,-0.29,0.05,0.5,88.27,0,0,0.12,0.49,-155.05,93.93,behind,good,lost sight of enemy
37.9,enemy aircraft finished manoeuvre,2996.2307333674576 metres,7.96,3.91,4.34,-3.69,337.84,132.95,-1.3,-0.03,-0.29,0.05,0.5,87.94,0,0,0.11,-0.43,-155.1,92.21,behind,good,lost sight of enemy
38.01,enemy aircraft finished manoeuvre,3006.4257960591585 metres,8.15,3.02,4.31,-3.41,337.82,132.98,-1.48,-0.03,-0.29,0.05,0.5,87.62,0,0,0.11,-1.29,-155.16,90.76,behind,good,lost sight of enemy
38.12,enemy aircraft finished manoeuvre,3016.897647049279 metres,8.34,2.18,4.28,-3.12,337.8,133.02,-1.57,-0.03,-0.29,0.05,0.5,87.3,0,0,0.12,-2.1,-155.23,90.73,behind,good,lost sight of enemy
38.24,enemy aircraft finished manoeuvre,3027.4856273971136 metres,8.54,1.44,4.26,-2.83,337.77,133.06,-1.53,-0.03,-0.11,0.05,0.5,86.99,0,0,0.11,-2.82,-155.3,93.27,behind,good,lost sight of enemy
38.35,enemy aircraft finished manoeuvre,3037.7850467561493 metres,8.74,1.18,4.23,-2.57,337.72,133.1,-1.0,-0.04,0.03,0.04,0.5,86.7,0,0,0.11,-3.05,-155.38,90.48,behind,might lose sight of enemy,lost sight of enemy
38.47,enemy aircraft finished manoeuvre,3048.5170150267904 metres,8.94,1.53,4.21,-2.34,337.64,133.14,0.01,-0.05,0.03,0.04,0.5,86.42,0,0,0.12,-2.68,-155.5,91.27,behind,good,lost sight of enemy
